NVMe_total_util,CPU,Memory_used,num_workers
0.91048396,0.6504734000000001,0.8902954,0.15
0.94528735,0.68819386,0.91745645,0.16
0.95356226,0.6965384,0.9232548,0.16
0.95375335,0.69696796,0.9236340000000001,0.16
0.91048396,0.6504734000000001,0.8902954,0.16
0.94528735,0.68819386,0.91745645,0.17
0.95356226,0.6965384,0.9232548,0.17
0.95375335,0.69696796,0.9236340000000001,0.17
0.91048396,0.6504734000000001,0.8902954,0.17
0.94528735,0.68819386,0.91745645,0.18
0.95356226,0.6965384,0.9232548,0.18
0.95375335,0.69696796,0.9236340000000001,0.18
0.91048396,0.6504734000000001,0.8902954,0.18
0.94528735,0.68819386,0.91745645,0.19
0.95356226,0.6965384,0.9232548,0.19
0.95375335,0.69696796,0.9236340000000001,0.19
0.91048396,0.6504734000000001,0.8902954,0.19
0.94528735,0.68819386,0.91745645,0.2
0.95356226,0.6965384,0.9232548,0.2
0.95375335,0.69696796,0.9236340000000001,0.2
0.91048396,0.6504734000000001,0.8902954,0.2
0.94528735,0.68819386,0.91745645,0.21
0.95356226,0.6965384,0.9232548,0.21
0.95375335,0.69696796,0.9236340000000001,0.21
0.91048396,0.6504734000000001,0.8902954,0.21
0.94528735,0.68819386,0.91745645,0.22
0.95356226,0.6965384,0.9232548,0.22
0.95375335,0.69696796,0.9236340000000001,0.22
0.91048396,0.6504734000000001,0.8902954,0.22
0.94528735,0.68819386,0.91745645,0.23
0.95356226,0.6965384,0.9232548,0.23
0.95375335,0.69696796,0.9236340000000001,0.23
0.91048396,0.6504734000000001,0.8902954,0.23
0.94528735,0.68819386,0.91745645,0.24
0.95356226,0.6965384,0.9232548,0.24
0.95375335,0.69696796,0.9236340000000001,0.24
0.91048396,0.6504734000000001,0.8902954,0.24
0.94528735,0.68819386,0.91745645,0.25
0.95356226,0.6965384,0.9232548,0.25
0.95375335,0.69696796,0.9236340000000001,0.25
0.91048396,0.6504734000000001,0.8902954,0.25
0.94528735,0.68819386,0.91745645,0.26
0.95356226,0.6965384,0.9232548,0.26
0.95375335,0.69696796,0.9236340000000001,0.26
0.91048396,0.6504734000000001,0.8902954,0.26
0.94528735,0.68819386,0.91745645,0.27
0.95356226,0.6965384,0.9232548,0.27
0.95375335,0.69696796,0.9236340000000001,0.27
0.91048396,0.6504734000000001,0.8902954,0.27
0.94528735,0.68819386,0.91745645,0.28
0.95356226,0.6965384,0.9232548,0.28
0.95375335,0.69696796,0.9236340000000001,0.28
0.91048396,0.6504734000000001,0.8902954,0.28
0.94528735,0.68819386,0.91745645,0.29
0.95356226,0.6965384,0.9232548,0.29
0.95375335,0.69696796,0.9236340000000001,0.29
0.91048396,0.6504734000000001,0.8902954,0.29
0.94528735,0.68819386,0.91745645,0.3
0.95356226,0.6965384,0.9232548,0.3
0.95375335,0.69696796,0.9236340000000001,0.3
0.91048396,0.6504734000000001,0.8902954,0.3
0.94528735,0.68819386,0.91745645,0.31
0.95356226,0.6965384,0.9232548,0.31
0.95375335,0.69696796,0.9236340000000001,0.31
0.91048396,0.6504734000000001,0.8902954,0.31
0.94528735,0.68819386,0.91745645,0.32
0.95356226,0.6965384,0.9232548,0.32
0.95375335,0.69696796,0.9236340000000001,0.32
0.91048396,0.6504734000000001,0.8902954,0.32
0.94528735,0.68819386,0.91745645,0.33
0.95356226,0.6965384,0.9232548,0.33
0.95375335,0.69696796,0.9236340000000001,0.33
0.91048396,0.6504734000000001,0.8902954,0.33
0.94528735,0.68819386,0.91745645,0.34
0.95356226,0.6965384,0.9232548,0.34
0.95375335,0.69696796,0.9236340000000001,0.34
0.91048396,0.6504734000000001,0.8902954,0.34
0.94528735,0.68819386,0.91745645,0.35
0.95356226,0.6965384,0.9232548,0.35
0.95375335,0.69696796,0.9236340000000001,0.35
0.91048396,0.6504734000000001,0.8902954,0.35
0.94528735,0.68819386,0.91745645,0.36
0.95356226,0.6965384,0.9232548,0.36
0.95375335,0.69696796,0.9236340000000001,0.36
0.91048396,0.6504734000000001,0.8902954,0.36
0.94528735,0.68819386,0.91745645,0.37
0.95356226,0.6965384,0.9232548,0.37
0.95375335,0.69696796,0.9236340000000001,0.37
0.91048396,0.6504734000000001,0.8902954,0.37
0.94528735,0.68819386,0.91745645,0.38
0.95356226,0.6965384,0.9232548,0.38
0.95375335,0.69696796,0.9236340000000001,0.38
0.91048396,0.6504734000000001,0.8902954,0.38
0.94528735,0.68819386,0.91745645,0.39
0.95356226,0.6965384,0.9232548,0.39
0.95375335,0.69696796,0.9236340000000001,0.39
0.91048396,0.6504734000000001,0.8902954,0.39
0.94528735,0.68819386,0.91745645,0.4
0.95356226,0.6965384,0.9232548,0.4
0.95375335,0.69696796,0.9236340000000001,0.4
